month,day,count
1,1,189035
1,2,197852
1,3,222879
1,4,235053
1,5,236041
1,6,208194
1,7,227762
1,8,236155
1,9,254671
1,10,280648
1,11,290607
1,12,264567
1,13,226924
1,14,244102
1,15,266135
1,16,271419
1,17,283409
1,18,265782
1,19,235790
1,20,202740
1,21,192370
1,22,253977
1,23,259948
1,24,280805
1,25,291288
1,26,271393
1,27,219762
1,28,239924
1,29,258533
1,30,275771
1,31,284029
2,1,298099
2,2,266649
2,3,220654
2,4,232606
2,5,252309
2,6,277014
2,7,274904
2,8,288265
2,9,276436
2,10,221064
2,11,235425
2,12,237109
2,13,267490
2,14,270850
2,15,256064
2,16,239894
2,17,211913
2,18,192891
2,19,234552
2,20,240827
2,21,252301
2,22,263286
2,23,252835
2,24,208292
2,25,234090
2,26,262386
2,27,270459
2,28,280520
3,1,281178
3,2,251510
3,3,221844
3,4,208017
3,5,267813
3,6,285220
3,7,291097
3,8,284832
3,9,271224
3,10,228385
3,11,235456
3,12,266903
3,13,270374
3,14,279092
3,15,284471
3,16,269814
3,17,224964
3,18,221906
3,19,237983
3,20,250056
3,21,274055
3,22,271417
3,23,254520
3,24,209085
3,25,211681
3,26,239845
3,27,250588
3,28,260135
3,29,256625
3,30,249651
3,31,222583
4,1,232912
4,2,257397
4,3,263617
4,4,277094
4,5,292590
4,6,260741
4,7,223085
4,8,228787
4,9,260371
4,10,261333
4,11,274408
4,12,280048
4,13,262799
4,14,224394
4,15,247308
4,16,254447
4,17,265635
4,18,267157
4,19,242018
4,20,211219
4,21,185309
4,22,211944
4,23,234862
4,24,241933
4,25,266326
4,26,251711
4,27,251023
4,28,220865
4,29,228245
4,30,253571
5,1,269210
5,2,277491
5,3,275523
5,4,265668
5,5,236852
5,6,227510
5,7,250827
5,8,257224
5,9,270969
5,10,265641
5,11,252414
5,12,225371
5,13,242079
5,14,260209
5,15,257136
5,16,262637
5,17,271174
5,18,256013
5,19,222149
5,20,238024
5,21,254202
5,22,260964
5,23,257808
5,24,227325
5,25,184970
5,26,164392
5,27,146070
5,28,224456
5,29,245099
5,30,257272
5,31,258681
6,1,244914
6,2,209398
6,3,227677
6,4,227929
6,5,253309
6,6,261778
6,7,250221
6,8,229466
6,9,190195
6,10,221213
6,11,239921
6,12,251903
6,13,262813
6,14,242527
6,15,221153
6,16,187956
6,17,215629
6,18,242304
6,19,246680
6,20,255082
6,21,248787
6,22,221070
6,23,200305
6,24,218505
6,25,241482
6,26,249641
6,27,253765
6,28,242109
6,29,216025
6,30,167041
7,1,193596
7,2,199035
7,3,180585
7,4,123988
7,5,142601
7,6,153204
7,7,153038
7,8,190064
7,9,216886
7,10,234399
7,11,239818
7,12,218212
7,13,212460
7,14,177636
7,15,200581
7,16,230369
7,17,248650
7,18,237392
7,19,240829
7,20,199029
7,21,179192
7,22,214328
7,23,223184
7,24,231130
7,25,237004
7,26,217092
7,27,194631
7,28,176180
7,29,198034
7,30,222572
7,31,224657
8,1,233441
8,2,214847
8,3,191981
8,4,171462
8,5,188658
8,6,215983
8,7,219463
8,8,227620
8,9,209434
8,10,184046
8,11,159215
8,12,187316
8,13,206342
8,14,213111
8,15,216394
8,16,201082
8,17,186374
8,18,170012
8,19,184378
8,20,201475
8,21,212750
8,22,222657
8,23,196726
8,24,180635
8,25,163399
8,26,171446
8,27,189632
8,28,203277
8,29,197960
8,30,189234
8,31,162739
9,1,148578
9,2,135749
9,3,198640
9,4,225078
9,5,240788
9,6,239040
9,7,214845
9,8,193056
9,9,213051
9,10,235617
9,11,242990
9,12,260131
9,13,245309
9,14,229827
9,15,203398
9,16,218791
9,17,234320
9,18,242017
9,19,250932
9,20,243902
9,21,233784
9,22,205025
9,23,195978
9,24,211286
9,25,217366
9,26,238115
9,27,237266
9,28,232598
9,29,198872
9,30,181279
10,1,210447
10,2,243310
10,3,256964
10,4,253322
10,5,235054
10,6,195668
10,7,220894
10,8,225487
10,9,228026
10,10,248382
10,11,249104
10,12,228033
10,13,197598
10,14,182745
10,15,236907
10,16,239864
10,17,256765
10,18,260467
10,19,240158
10,20,213850
10,21,212045
10,22,239434
10,23,244172
10,24,254486
10,25,252679
10,26,244085
10,27,207480
10,28,215649
10,29,237968
10,30,241419
10,31,241648
11,1,276084
11,2,249627
11,3,211209
11,4,218546
11,5,229329
11,6,244741
11,7,258230
11,8,269410
11,9,244859
11,10,204011
11,11,187090
11,12,242000
11,13,252012
11,14,260975
11,15,257853
11,16,258001
11,17,209361
11,18,228519
11,19,235073
11,20,249613
11,21,261121
11,22,247480
11,23,240274
11,24,205067
11,25,211096
11,26,224686
11,27,208606
11,28,138465
11,29,164432
11,30,190041
12,1,182604
12,2,208526
12,3,249198
12,4,250793
12,5,272267
12,6,274922
12,7,267701
12,8,222443
12,9,225458
12,10,246751
12,11,267863
12,12,278493
12,13,278132
12,14,263936
12,15,233950
12,16,236418
12,17,256629
12,18,267250
12,19,286932
12,20,274896
12,21,227263
12,22,179055
12,23,180871
12,24,164422
12,25,101917
12,26,146956
12,27,169618
12,28,172030
12,29,165128
12,30,174564
12,31,169197
